Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attendance,playoffs,season,playoffs_
28.0,Atlanta Hawks,26.1,2.0,9.0,3,8,-7.45,-1.87,-9.33,-0.7804323221860716,1.0501528968269151,100.3,0.24600000000000002,0.305,0.54,0.498,13.9,19.2,0.19899999999999998,0.523,13.8,74.6,0.21100000000000002,Philips Arena,57536.0,no playoffs,2018,no playoffs
29.0,Phoenix Suns,24.1,4.0,7.0,2,9,-10.0,-0.37,-10.37,-1.1030110153563109,1.2600142331791098,103.4,0.331,0.294,0.527,0.47600000000000003,14.5,23.6,0.254,0.52,12.1,78.0,0.23,Talking Stick Resort Arena,82940.0,no playoffs,2018,no playoffs
30.0,Sacramento Kings,26.3,1.0,8.0,1,8,-12.0,-0.15,-12.15,-1.702085731243904,1.3649449013552089,95.0,0.18899999999999997,0.245,0.508,0.48,14.2,21.4,0.141,0.541,15.0,72.2,0.21,Golden 1 Center,52749.0,no playoffs,2018,no playoffs
,League Average,26.7,,,5,5,0.0,0.0,0.0,0.026014410739531573,0.02707888210996214,98.9,0.264,0.337,0.551,0.513,14.0,22.3,0.203,0.513,14.0,77.7,0.203,,87083.0,no playoffs,2018,no playoffs
1.0,Golden State Warriors*,28.2,67.0,15.0,67,15,11.63,-0.28,11.35,2.075839237788205,-1.990160408040182,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436.0,Finals,2017,Finals
2.0,San Antonio Spurs*,29.6,61.0,21.0,60,22,7.2,-0.06,7.13,0.7001643034820086,-2.1983080890430355,94.2,0.263,0.281,0.564,0.524,12.6,24.0,0.21,0.49200000000000005,13.5,77.6,0.192,AT&T Center,755347.0,Western Conference Finals,2017,Conference Finals
3.0,Houston Rockets*,27.4,55.0,27.0,55,27,5.77,0.08,5.84,1.8007042509269684,0.09131640198835439,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.19399999999999998,Toyota Center,695903.0,Western Conference Semifinals,2017,Conference Semifinals
4.0,Los Angeles Clippers*,30.0,51.0,31.0,52,30,4.29,0.13,4.42,1.1892931690131032,-0.24171988761621027,96.1,0.312,0.32899999999999996,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002,STAPLES Center,782609.0,Western Conference First Round,2017,First Round
5.0,Utah Jazz*,26.8,51.0,31.0,52,30,3.94,0.06,4.0,0.2416059920466098,-1.4489764374327638,91.6,0.28800000000000003,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142.0,Western Conference Semifinals,2017,Conference Semifinals
6.0,Toronto Raptors*,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,1.0670109526303286,-0.40823803241849554,94.7,0.293,0.289,0.561,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050.0,Eastern Conference Semifinals,2017,Conference Semifinals
7.0,Cleveland Cavaliers*,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,1.46442815587434,0.6325003725957726,96.2,0.275,0.39899999999999997,0.58,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042.0,Finals,2017,Finals
8.0,Boston Celtics*,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,0.7307348575777045,-0.15846081521506764,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,760690.0,Eastern Conference Finals,2017,Conference Finals
9.0,Washington Wizards*,26.0,49.0,33.0,46,36,1.8,-0.45,1.36,0.7307348575777045,0.2162050105900654,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.19899999999999998,0.524,13.8,75.5,0.213,Verizon Center,697107.0,Eastern Conference Semifinals,2017,Conference Semifinals
10.0,Oklahoma City Thunder*,24.7,47.0,35.0,43,39,0.76,0.39,1.14,-0.15581121119740163,-0.5331266410202066,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,746323.0,Western Conference First Round,2017,First Round
11.0,Memphis Grizzlies*,29.5,43.0,39.0,42,40,0.49,0.47,0.96,-0.33923453577155943,-0.6996447858224918,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.21899999999999997,0.506,13.6,77.5,0.256,FedEx Forum,677314.0,Western Conference First Round,2017,First Round
12.0,Miami Heat,26.5,41.0,41.0,44,38,1.06,-0.29,0.77,-0.3086639816758679,-0.8661629306247712,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400.0,no playoffs,2017,no playoffs
13.0,Denver Nuggets,25.2,40.0,42.0,42,40,0.51,0.19,0.7,1.3421459394915696,1.6316092414094725,98.3,0.276,0.32899999999999996,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.19399999999999998,Pepsi Center,605585.0,no playoffs,2017,no playoffs
14.0,Chicago Bulls*,26.9,41.0,41.0,42,40,0.43,-0.39,0.03,-0.4309461980586383,-0.7412743220230602,95.3,0.259,0.256,0.53,0.48700000000000004,12.3,27.0,0.20600000000000002,0.507,12.4,76.8,0.16899999999999998,United Center,888882.0,Eastern Conference First Round,2017,First Round
15.0,Charlotte Hornets,26.5,36.0,46.0,42,40,0.2,-0.26,-0.07,-0.002958440718935366,-0.0752017428139309,95.7,0.27899999999999997,0.335,0.547,0.501,10.7,19.9,0.22699999999999998,0.523,12.1,79.6,0.16399999999999998,Spectrum Center,710643.0,no playoffs,2017,no playoffs
16.0,Portland Trail Blazers*,24.8,41.0,41.0,40,42,-0.52,0.3,-0.23,0.45559987071646346,0.8406480535986264,96.7,0.275,0.322,0.5589999999999999,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002,Moda Center,792029.0,Western Conference First Round,2017,First Round
17.0,Milwaukee Bucks*,25.6,42.0,40.0,40,42,-0.18,-0.26,-0.45,0.08875322156814353,0.2162050105900654,94.5,0.27399999999999997,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,648952.0,Eastern Conference First Round,2017,First Round
18.0,Indiana Pacers*,27.0,42.0,40.0,40,42,-0.22,-0.42,-0.64,-0.06409954891032274,0.008057329587211741,95.9,0.261,0.272,0.5579999999999999,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,684578.0,Eastern Conference First Round,2017,First Round
19.0,Minnesota Timberwolves,24.0,31.0,51.0,38,44,-1.11,0.47,-0.64,0.6084526411949297,1.3402024880054764,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.22899999999999998,0.535,13.2,75.9,0.212,Target Center,607203.0,no playoffs,2017,no playoffs
20.0,Atlanta Hawks*,27.9,43.0,39.0,39,43,-0.85,-0.38,-1.23,-1.1952100504509697,-1.2824582926304786,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306.0,Eastern Conference First Round,2017,First Round
21.0,Detroit Pistons,25.4,37.0,45.0,38,44,-1.12,-0.17,-1.29,-0.8589339553983456,-0.6996447858224918,95.0,0.218,0.263,0.521,0.49200000000000005,10.9,24.1,0.157,0.516,12.1,81.2,0.19699999999999998,The Palace of Auburn Hills,655141.0,no playoffs,2017,no playoffs
22.0,New Orleans Pelicans,25.7,34.0,48.0,35,47,-2.1,0.41,-1.69,-1.103498388163891,-0.5747561772207749,98.0,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,663099.0,no playoffs,2017,no playoffs
23.0,Dallas Mavericks,27.6,33.0,49.0,33,49,-2.93,0.4,-2.53,-0.9812161717811204,0.008057329587211741,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366.0,no playoffs,2017,no playoffs
24.0,Sacramento Kings,27.8,32.0,50.0,31,51,-3.88,0.58,-3.29,-0.4615167521543342,1.04879573460148,94.9,0.284,0.29100000000000004,0.556,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.22699999999999998,Golden 1 Center,721928.0,no playoffs,2017,no playoffs
25.0,New York Knicks,27.3,31.0,51.0,31,51,-3.67,-0.2,-3.87,-0.33923453577155943,1.1320548070026226,96.0,0.239,0.27899999999999997,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),810741.0,no playoffs,2017,no playoffs
26.0,Phoenix Suns,25.0,24.0,58.0,27,55,-5.63,0.49,-5.14,-0.6755106308241878,1.423461560406619,100.3,0.297,0.255,0.5379999999999999,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,708639.0,no playoffs,2017,no playoffs
27.0,Philadelphia 76ers,24.6,28.0,54.0,26,56,-5.7,-0.14,-5.83,-1.7149094700777558,0.04968686578778602,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.19899999999999998,0.512,13.5,75.3,0.23399999999999999,Wells Fargo Center,710557.0,no playoffs,2017,no playoffs
28.0,Los Angeles Lakers,25.1,26.0,56.0,24,58,-6.88,0.58,-6.29,-0.8589339553983456,1.7564978500111836,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,STAPLES Center,776917.0,no playoffs,2017,no playoffs
