away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
min,17.0,42.0,91.0,brk,22.0,51.0,98.0,21,29
nyk,18.0,42.0,110.0,brk,22.0,43.0,99.0,21,9
orl,23.0,45.0,104.0,brk,25.0,31.0,96.0,21,1
brk,17.0,37.0,104.0,pho,20.0,44.0,112.0,16,21
brk,19.0,41.0,99.0,gsw,30.0,45.0,107.0,15,21
brk,15.0,43.0,87.0,por,26.0,47.0,97.0,14,21
mia,18.0,35.0,83.0,brk,19.0,41.0,95.0,21,2
mil,26.0,49.0,118.0,brk,23.0,51.0,122.0,21,17
brk,17.0,38.0,94.0,okc,18.0,36.0,92.0,27,21
brk,24.0,44.0,87.0,sas,29.0,48.0,99.0,28,21
brk,25.0,40.0,99.0,phi,23.0,42.0,91.0,19,21
chi,16.0,34.0,84.0,brk,19.0,50.0,102.0,21,11
brk,22.0,49.0,98.0,nyk,22.0,40.0,93.0,9,21
sas,20.0,54.0,95.0,brk,23.0,58.0,93.0,21,28
atl,16.0,51.0,75.0,brk,22.0,46.0,98.0,21,5
cle,25.0,33.0,88.0,brk,25.0,55.0,110.0,21,4
brk,16.0,44.0,80.0,chi,21.0,57.0,105.0,11,21
phi,25.0,47.0,88.0,brk,18.0,37.0,70.0,21,19
brk,29.0,43.0,114.0,cho,16.0,34.0,87.0,26,21
mia,25.0,37.0,91.0,brk,20.0,41.0,95.0,21,2
brk,20.0,43.0,89.0,tor,24.0,42.0,105.0,0,21
brk,23.0,37.0,91.0,cle,22.0,44.0,95.0,4,21
det,29.0,37.0,110.0,brk,26.0,50.0,105.0,21,10
den,21.0,39.0,102.0,brk,15.0,51.0,96.0,21,13
brk,19.0,43.0,109.0,bos,32.0,37.0,107.0,3,21
ind,15.0,35.0,85.0,brk,33.0,45.0,110.0,21,20
sac,20.0,40.0,107.0,brk,22.0,44.0,99.0,21,7
brk,21.0,46.0,96.0,chi,22.0,48.0,82.0,11,21
brk,26.0,45.0,100.0,orl,22.0,37.0,98.0,1,21
